tempo_min CA CB CC CD XA
6.153846 0.016821 0.020037 0.012549 0.000296 0.663572
6.220736 0.016806 0.019997 0.012607 0.000295 0.663871
6.287625 0.016792 0.019957 0.012663 0.000294 0.664156
6.354515 0.016779 0.019918 0.012717 0.000293 0.664425
6.421405 0.016766 0.019880 0.012770 0.000292 0.664682
6.488294 0.016754 0.019843 0.012822 0.000291 0.664926
6.555184 0.016742 0.019806 0.012872 0.000290 0.665157
6.622074 0.016731 0.019770 0.012921 0.000289 0.665377
6.688963 0.016721 0.019735 0.012969 0.000287 0.665586
6.755853 0.016711 0.019701 0.013016 0.000286 0.665785
6.822742 0.016701 0.019667 0.013061 0.000285 0.665974
6.889632 0.016692 0.019634 0.013105 0.000284 0.666153
6.956522 0.016684 0.019602 0.013148 0.000283 0.666324
7.023411 0.016676 0.019570 0.013190 0.000282 0.666486
7.090301 0.016668 0.019539 0.013230 0.000281 0.666640
7.157191 0.016661 0.019509 0.013270 0.000280 0.666786
7.224080 0.016654 0.019479 0.013309 0.000279 0.666925
7.290970 0.016647 0.019450 0.013346 0.000278 0.667057
7.357860 0.016641 0.019422 0.013383 0.000277 0.667182
7.424749 0.016635 0.019394 0.013418 0.000277 0.667302
7.491639 0.016629 0.019367 0.013453 0.000276 0.667415
7.558528 0.016624 0.019340 0.013486 0.000275 0.667523
7.625418 0.016619 0.019314 0.013519 0.000274 0.667625
7.692308 0.016614 0.019289 0.013551 0.000273 0.667722
7.759197 0.016609 0.019264 0.013582 0.000272 0.667815
7.826087 0.016605 0.019240 0.013612 0.000271 0.667902
7.892977 0.016601 0.019217 0.013642 0.000270 0.667986
7.959866 0.016597 0.019194 0.013670 0.000270 0.668065
8.026756 0.016593 0.019172 0.013698 0.000269 0.668140
8.093645 0.016589 0.019150 0.013725 0.000268 0.668212
8.160535 0.016586 0.019128 0.013751 0.000267 0.668280
8.227425 0.016583 0.019108 0.013777 0.000266 0.668344
8.294314 0.016580 0.019087 0.013802 0.000266 0.668406
8.361204 0.016577 0.019068 0.013826 0.000265 0.668464
8.428094 0.016574 0.019048 0.013850 0.000264 0.668520
8.494983 0.016571 0.019029 0.013872 0.000263 0.668572
8.561873 0.016569 0.019011 0.013895 0.000263 0.668622
8.628763 0.016567 0.018993 0.013916 0.000262 0.668670
8.695652 0.016564 0.018976 0.013938 0.000261 0.668715
8.762542 0.016562 0.018959 0.013958 0.000261 0.668758
8.829431 0.016560 0.018942 0.013978 0.000260 0.668799
8.896321 0.016558 0.018926 0.013997 0.000259 0.668838
8.963211 0.016556 0.018911 0.014016 0.000258 0.668875
9.030100 0.016555 0.018895 0.014035 0.000258 0.668910
9.096990 0.016553 0.018880 0.014052 0.000257 0.668943
9.163880 0.016551 0.018866 0.014070 0.000257 0.668974
9.230769 0.016550 0.018852 0.014087 0.000256 0.669004
9.297659 0.016548 0.018838 0.014103 0.000255 0.669033
9.364548 0.016547 0.018825 0.014119 0.000255 0.669060
9.431438 0.016546 0.018812 0.014134 0.000254 0.669086
9.498328 0.016544 0.018799 0.014150 0.000254 0.669110
9.565217 0.016543 0.018786 0.014164 0.000253 0.669134
9.632107 0.016542 0.018774 0.014179 0.000252 0.669156
9.698997 0.016541 0.018763 0.014192 0.000252 0.669177
9.765886 0.016540 0.018751 0.014206 0.000251 0.669197
9.832776 0.016539 0.018740 0.014219 0.000251 0.669216
9.899666 0.016538 0.018729 0.014232 0.000250 0.669234
9.966555 0.016537 0.018719 0.014244 0.000250 0.669251
10.033445 0.016537 0.018709 0.014256 0.000249 0.669267
10.100334 0.016536 0.018699 0.014268 0.000249 0.669283
10.167224 0.016535 0.018689 0.014279 0.000248 0.669297
10.234114 0.016534 0.018680 0.014290 0.000248 0.669311
10.301003 0.016534 0.018671 0.014301 0.000247 0.669325
10.367893 0.016533 0.018662 0.014312 0.000247 0.669337
10.434783 0.016533 0.018653 0.014322 0.000246 0.669349
10.501672 0.016532 0.018645 0.014332 0.000246 0.669361
10.568562 0.016531 0.018636 0.014341 0.000245 0.669371
10.635452 0.016531 0.018628 0.014351 0.000245 0.669382
10.702341 0.016530 0.018621 0.014360 0.000245 0.669392
10.769231 0.016530 0.018613 0.014369 0.000244 0.669401
10.836120 0.016530 0.018606 0.014377 0.000244 0.669410
10.903010 0.016529 0.018599 0.014386 0.000243 0.669418
10.969900 0.016529 0.018592 0.014394 0.000243 0.669426
11.036789 0.016528 0.018585 0.014402 0.000242 0.669434
11.103679 0.016528 0.018579 0.014409 0.000242 0.669441
11.170569 0.016528 0.018572 0.014417 0.000242 0.669448
11.237458 0.016527 0.018566 0.014424 0.000241 0.669454
11.304348 0.016527 0.018560 0.014431 0.000241 0.669460
11.371237 0.016527 0.018554 0.014438 0.000241 0.669466
11.438127 0.016526 0.018549 0.014445 0.000240 0.669472
11.505017 0.016526 0.018543 0.014451 0.000240 0.669477
11.571906 0.016526 0.018538 0.014458 0.000239 0.669482
11.638796 0.016526 0.018532 0.014464 0.000239 0.669487
11.705686 0.016525 0.018527 0.014470 0.000239 0.669491
11.772575 0.016525 0.018522 0.014475 0.000238 0.669496
11.839465 0.016525 0.018518 0.014481 0.000238 0.669500
11.906355 0.016525 0.018513 0.014487 0.000238 0.669504
11.973244 0.016525 0.018509 0.014492 0.000237 0.669507
12.040134 0.016524 0.018504 0.014497 0.000237 0.669511
12.107023 0.016524 0.018500 0.014502 0.000237 0.669514
12.173913 0.016524 0.018496 0.014507 0.000237 0.669517
12.240803 0.016524 0.018492 0.014512 0.000236 0.669520
12.307692 0.016524 0.018488 0.014517 0.000236 0.669523
12.374582 0.016524 0.018484 0.014521 0.000236 0.669526
12.441472 0.016524 0.018480 0.014525 0.000235 0.669529
12.508361 0.016523 0.018477 0.014530 0.000235 0.669531
12.575251 0.016523 0.018473 0.014534 0.000235 0.669533
12.642140 0.016523 0.018470 0.014538 0.000235 0.669536
12.709030 0.016523 0.018467 0.014542 0.000234 0.669538
12.775920 0.016523 0.018463 0.014546 0.000234 0.669540
12.842809 0.016523 0.018460 0.014549 0.000234 0.669542
12.909699 0.016523 0.018457 0.014553 0.000233 0.669543
12.976589 0.016523 0.018454 0.014556 0.000233 0.669545
13.043478 0.016523 0.018452 0.014560 0.000233 0.669547
13.110368 0.016523 0.018449 0.014563 0.000233 0.669548
13.177258 0.016523 0.018446 0.014566 0.000232 0.669550
13.244147 0.016522 0.018443 0.014570 0.000232 0.669551
13.311037 0.016522 0.018441 0.014573 0.000232 0.669553
13.377926 0.016522 0.018438 0.014576 0.000232 0.669554
13.444816 0.016522 0.018436 0.014578 0.000232 0.669555
13.511706 0.016522 0.018434 0.014581 0.000231 0.669556
13.578595 0.016522 0.018432 0.014584 0.000231 0.669557
13.645485 0.016522 0.018429 0.014587 0.000231 0.669558
13.712375 0.016522 0.018427 0.014589 0.000231 0.669559
13.779264 0.016522 0.018425 0.014592 0.000231 0.669560
13.846154 0.016522 0.018423 0.014594 0.000230 0.669561
13.913043 0.016522 0.018421 0.014597 0.000230 0.669562
13.979933 0.016522 0.018419 0.014599 0.000230 0.669563
14.046823 0.016522 0.018418 0.014601 0.000230 0.669564
14.113712 0.016522 0.018416 0.014603 0.000230 0.669564
14.180602 0.016522 0.018414 0.014606 0.000229 0.669565
14.247492 0.016522 0.018412 0.014608 0.000229 0.669566
14.314381 0.016522 0.018411 0.014610 0.000229 0.669566
14.381271 0.016522 0.018409 0.014612 0.000229 0.669567
14.448161 0.016522 0.018408 0.014613 0.000229 0.669567
14.515050 0.016522 0.018406 0.014615 0.000228 0.669568
14.581940 0.016522 0.018405 0.014617 0.000228 0.669568
14.648829 0.016522 0.018403 0.014619 0.000228 0.669569
14.715719 0.016522 0.018402 0.014621 0.000228 0.669569
14.782609 0.016522 0.018401 0.014622 0.000228 0.669570
14.849498 0.016521 0.018399 0.014624 0.000228 0.669570
14.916388 0.016521 0.018398 0.014625 0.000228 0.669571
14.983278 0.016521 0.018397 0.014627 0.000227 0.669571
15.050167 0.016521 0.018396 0.014628 0.000227 0.669571
15.117057 0.016521 0.018395 0.014630 0.000227 0.669572
15.183946 0.016521 0.018393 0.014631 0.000227 0.669572
15.250836 0.016521 0.018392 0.014633 0.000227 0.669572
15.317726 0.016521 0.018391 0.014634 0.000227 0.669573
15.384615 0.016521 0.018390 0.014635 0.000227 0.669573
15.451505 0.016521 0.018389 0.014637 0.000226 0.669573
15.518395 0.016521 0.018388 0.014638 0.000226 0.669573
15.585284 0.016521 0.018387 0.014639 0.000226 0.669574
15.652174 0.016521 0.018386 0.014640 0.000226 0.669574
15.719064 0.016521 0.018386 0.014641 0.000226 0.669574
15.785953 0.016521 0.018385 0.014642 0.000226 0.669574
15.852843 0.016521 0.018384 0.014644 0.000226 0.669574
15.919732 0.016521 0.018383 0.014645 0.000225 0.669575
15.986622 0.016521 0.018382 0.014646 0.000225 0.669575
16.053512 0.016521 0.018382 0.014647 0.000225 0.669575
16.120401 0.016521 0.018381 0.014648 0.000225 0.669575
16.187291 0.016521 0.018380 0.014649 0.000225 0.669575
16.254181 0.016521 0.018379 0.014649 0.000225 0.669575
16.321070 0.016521 0.018379 0.014650 0.000225 0.669576
16.387960 0.016521 0.018378 0.014651 0.000225 0.669576
16.454849 0.016521 0.018378 0.014652 0.000225 0.669576
