tempo C_alim C_z025 C_z050 C_z075 C_z100
1.538462 0.233511 0.183409 0.138122 0.102254 0.080213
1.555184 0.234136 0.183720 0.138808 0.102620 0.080963
1.571906 0.234497 0.184291 0.139201 0.103271 0.081396
1.588629 0.234916 0.184782 0.139657 0.103834 0.081900
1.605351 0.235418 0.185172 0.140201 0.104281 0.082501
1.622074 0.235871 0.185595 0.140691 0.104764 0.083045
1.638796 0.236204 0.186127 0.141049 0.105365 0.083445
1.655518 0.236664 0.186512 0.141544 0.105801 0.083996
1.672241 0.237114 0.186890 0.142029 0.106228 0.084536
1.688963 0.237426 0.187396 0.142362 0.106795 0.084911
1.705686 0.237796 0.187826 0.142760 0.107276 0.085356
1.722408 0.238295 0.188105 0.143299 0.107589 0.085954
1.739130 0.238610 0.188561 0.143636 0.108097 0.086332
1.755853 0.238961 0.188966 0.144012 0.108545 0.086753
1.772575 0.239376 0.189287 0.144461 0.108901 0.087252
1.789298 0.239741 0.189646 0.144854 0.109298 0.087689
1.806020 0.240060 0.190040 0.145197 0.109732 0.088072
1.822742 0.240391 0.190406 0.145555 0.110135 0.088469
1.839465 0.240788 0.190688 0.145986 0.110444 0.088946
1.856187 0.241104 0.191042 0.146328 0.110833 0.089325
1.872910 0.241281 0.191527 0.146518 0.111367 0.089537
1.889632 0.241705 0.191740 0.146982 0.111598 0.090047
1.906355 0.242058 0.192014 0.147367 0.111898 0.090470
1.923077 0.242263 0.192430 0.147590 0.112355 0.090716
1.939799 0.242551 0.192747 0.147905 0.112702 0.091061
1.956522 0.242969 0.192915 0.148364 0.112883 0.091563
1.973244 0.243254 0.193210 0.148676 0.113207 0.091905
1.989967 0.243414 0.193624 0.148852 0.113661 0.092096
2.006689 0.243748 0.193843 0.149220 0.113900 0.092498
2.023411 0.244011 0.194126 0.149509 0.114210 0.092813
2.040134 0.244231 0.194442 0.149752 0.114557 0.093077
2.056856 0.244497 0.194700 0.150046 0.114840 0.093396
2.073579 0.244802 0.194905 0.150383 0.115064 0.093763
2.090301 0.244998 0.195214 0.150599 0.115404 0.093998
2.107023 0.245203 0.195503 0.150826 0.115722 0.094243
2.123746 0.245501 0.195684 0.151156 0.115921 0.094602
2.140468 0.245749 0.195909 0.151430 0.116168 0.094899
2.157191 0.245882 0.196244 0.151577 0.116538 0.095058
2.173913 0.246152 0.196425 0.151877 0.116737 0.095383
2.190635 0.246402 0.196619 0.152153 0.116952 0.095682
2.207358 0.246528 0.196933 0.152293 0.117299 0.095833
2.224080 0.246748 0.197140 0.152537 0.117527 0.096098
2.240803 0.247028 0.197275 0.152846 0.117676 0.096434
2.257525 0.247207 0.197507 0.153044 0.117934 0.096649
2.274247 0.247315 0.197806 0.153164 0.118264 0.096778
2.290970 0.247523 0.197992 0.153394 0.118471 0.097027
2.307692 0.247882 0.198012 0.153790 0.118493 0.097458
2.324415 0.247952 0.198326 0.153868 0.118841 0.097542
2.341137 0.248106 0.198545 0.154038 0.119083 0.097728
2.357860 0.248366 0.198646 0.154324 0.119195 0.098039
2.374582 0.248621 0.198744 0.154606 0.119304 0.098345
2.391304 0.248614 0.199109 0.154598 0.119709 0.098336
2.408027 0.248823 0.199241 0.154829 0.119855 0.098588
2.424749 0.249025 0.199374 0.155051 0.120003 0.098830
2.441472 0.249094 0.199639 0.155127 0.120296 0.098913
2.458194 0.249273 0.199782 0.155324 0.120455 0.099128
2.474916 0.249512 0.199856 0.155587 0.120538 0.099414
2.491639 0.249625 0.200055 0.155712 0.120758 0.099550
2.508361 0.249740 0.200246 0.155838 0.120970 0.099688
2.525084 0.249932 0.200351 0.156049 0.121086 0.099918
2.541806 0.250172 0.200399 0.156314 0.121139 0.100207
2.558528 0.250184 0.200680 0.156327 0.121450 0.100221
2.575251 0.250310 0.200835 0.156465 0.121622 0.100372
2.591973 0.250516 0.200901 0.156692 0.121696 0.100619
2.608696 0.250585 0.201106 0.156767 0.121922 0.100702
2.625418 0.250635 0.201324 0.156822 0.122164 0.100762
2.642140 0.250865 0.201349 0.157076 0.122191 0.101038
2.658863 0.251010 0.201458 0.157235 0.122311 0.101212
2.675585 0.251035 0.201687 0.157262 0.122565 0.101242
2.692308 0.251128 0.201839 0.157365 0.122733 0.101354
2.709030 0.251419 0.201780 0.157685 0.122668 0.101703
2.725753 0.251531 0.201903 0.157808 0.122804 0.101837
2.742475 0.251541 0.202128 0.157818 0.123053 0.101849
2.759197 0.251707 0.202185 0.158001 0.123116 0.102048
2.775920 0.251900 0.202210 0.158213 0.123143 0.102280
2.792642 0.251903 0.202428 0.158216 0.123385 0.102283
2.809365 0.251918 0.202630 0.158233 0.123608 0.102302
2.826087 0.252166 0.202583 0.158506 0.123556 0.102599
2.842809 0.252175 0.202783 0.158516 0.123777 0.102610
2.859532 0.252204 0.202957 0.158548 0.123969 0.102645
2.876254 0.252415 0.202937 0.158780 0.123948 0.102898
2.892977 0.252506 0.203038 0.158880 0.124059 0.103008
2.909699 0.252543 0.203193 0.158920 0.124230 0.103051
2.926421 0.252668 0.203251 0.159058 0.124294 0.103201
2.943144 0.252813 0.203284 0.159218 0.124331 0.103376
2.959866 0.252891 0.203384 0.159304 0.124442 0.103469
2.976589 0.252901 0.203552 0.159315 0.124627 0.103481
2.993311 0.253052 0.203568 0.159481 0.124645 0.103662
3.010033 0.253100 0.203688 0.159534 0.124778 0.103721
3.026756 0.253123 0.203832 0.159560 0.124936 0.103748
3.043478 0.253211 0.203904 0.159656 0.125017 0.103853
3.060201 0.253403 0.203864 0.159868 0.124972 0.104084
3.076923 0.253374 0.204053 0.159835 0.125181 0.104048
3.093645 0.253394 0.204186 0.159858 0.125328 0.104073
3.110368 0.253569 0.204154 0.160050 0.125294 0.104283
3.127090 0.253765 0.204098 0.160266 0.125231 0.104518
3.143813 0.253671 0.204342 0.160162 0.125501 0.104405
3.160535 0.253767 0.204384 0.160268 0.125548 0.104520
3.177258 0.253884 0.204402 0.160397 0.125567 0.104660
3.193980 0.253915 0.204506 0.160431 0.125683 0.104698
3.210702 0.253899 0.204658 0.160414 0.125850 0.104679
3.227425 0.254050 0.204631 0.160580 0.125821 0.104860
3.244147 0.254118 0.204689 0.160655 0.125885 0.104942
3.260870 0.254093 0.204842 0.160628 0.126054 0.104912
3.277592 0.254179 0.204876 0.160723 0.126091 0.105015
3.294314 0.254334 0.204835 0.160893 0.126047 0.105201
3.311037 0.254277 0.205014 0.160830 0.126245 0.105133
3.327759 0.254352 0.205053 0.160912 0.126288 0.105222
3.344482 0.254470 0.205044 0.161042 0.126278 0.105364
3.361204 0.254468 0.205159 0.161040 0.126404 0.105361
3.377926 0.254497 0.205238 0.161072 0.126492 0.105397
3.394649 0.254601 0.205237 0.161187 0.126491 0.105521
3.411371 0.254686 0.205254 0.161280 0.126510 0.105623
3.428094 0.254624 0.205422 0.161212 0.126696 0.105549
3.444816 0.254711 0.205433 0.161308 0.126708 0.105653
3.461538 0.254858 0.205379 0.161470 0.126648 0.105830
3.478261 0.254851 0.205483 0.161462 0.126763 0.105822
3.494983 0.254825 0.205606 0.161433 0.126900 0.105790
3.511706 0.254920 0.205601 0.161537 0.126894 0.105903
3.528428 0.255107 0.205497 0.161743 0.126779 0.106128
3.545151 0.255009 0.205690 0.161635 0.126992 0.106011
3.561873 0.255015 0.205772 0.161643 0.127082 0.106018
3.578595 0.255135 0.205733 0.161774 0.127040 0.106162
3.595318 0.255104 0.205850 0.161740 0.127170 0.106125
3.612040 0.255125 0.205912 0.161763 0.127237 0.106150
3.628763 0.255211 0.205903 0.161858 0.127227 0.106254
3.645485 0.255383 0.205803 0.162047 0.127117 0.106459
3.662207 0.255264 0.206006 0.161916 0.127342 0.106316
3.678930 0.255310 0.206035 0.161967 0.127373 0.106372
3.695652 0.255451 0.205962 0.162122 0.127294 0.106541
3.712375 0.255402 0.206087 0.162068 0.127431 0.106482
3.729097 0.255381 0.206181 0.162045 0.127536 0.106457
3.745819 0.255494 0.206134 0.162170 0.127483 0.106593
3.762542 0.255501 0.206196 0.162178 0.127551 0.106602
3.779264 0.255433 0.206335 0.162103 0.127706 0.106520
3.795987 0.255534 0.206296 0.162214 0.127662 0.106641
3.812709 0.255636 0.206255 0.162326 0.127617 0.106763
3.829431 0.255579 0.206379 0.162263 0.127754 0.106695
3.846154 0.255588 0.206433 0.162273 0.127813 0.106705
3.862876 0.255722 0.206353 0.162421 0.127726 0.106867
3.879599 0.255819 0.206312 0.162527 0.127681 0.106983
3.896321 0.255709 0.206487 0.162406 0.127874 0.106850
3.913043 0.255764 0.206488 0.162467 0.127874 0.106917
3.929766 0.255898 0.206404 0.162615 0.127781 0.107078
3.946488 0.255879 0.206480 0.162593 0.127866 0.107054
3.963211 0.255756 0.206663 0.162458 0.128069 0.106907
3.979933 0.255912 0.206554 0.162629 0.127947 0.107094
3.996656 0.255894 0.206625 0.162610 0.128026 0.107073
4.013378 0.255825 0.206749 0.162533 0.128163 0.106990
4.030100 0.255933 0.206686 0.162653 0.128094 0.107119
4.046823 0.256066 0.206596 0.162799 0.127994 0.107279
4.063545 0.256032 0.206680 0.162762 0.128087 0.107239
4.080268 0.255994 0.206767 0.162720 0.128183 0.107193
4.096990 0.256086 0.206717 0.162822 0.128128 0.107304
4.113712 0.256146 0.206701 0.162887 0.128110 0.107375
4.130435 0.256045 0.206850 0.162777 0.128276 0.107254
4.147157 0.256112 0.206825 0.162849 0.128247 0.107334
4.163880 0.256155 0.206823 0.162897 0.128245 0.107386
4.180602 0.256094 0.206928 0.162830 0.128362 0.107313
4.197324 0.256082 0.206982 0.162817 0.128421 0.107299
4.214047 0.256236 0.206862 0.162986 0.128289 0.107483
4.230769 0.256188 0.206952 0.162933 0.128388 0.107425
4.247492 0.256123 0.207059 0.162861 0.128506 0.107347
4.264214 0.256249 0.206965 0.163000 0.128403 0.107498
4.280936 0.256298 0.206951 0.163055 0.128387 0.107558
4.297659 0.256276 0.207011 0.163030 0.128453 0.107531
4.314381 0.256273 0.207049 0.163027 0.128496 0.107528
4.331104 0.256363 0.206991 0.163126 0.128431 0.107635
4.347826 0.256384 0.207003 0.163149 0.128444 0.107661
4.364548 0.256288 0.207137 0.163043 0.128593 0.107545
4.381271 0.256329 0.207128 0.163089 0.128582 0.107595
4.397993 0.256432 0.207053 0.163202 0.128499 0.107718
4.414716 0.256335 0.207185 0.163096 0.128646 0.107602
4.431438 0.256337 0.207214 0.163098 0.128678 0.107605
4.448161 0.256482 0.207094 0.163257 0.128545 0.107778
4.464883 0.256468 0.207138 0.163242 0.128594 0.107762
4.481605 0.256409 0.207229 0.163177 0.128694 0.107691
4.498328 0.256485 0.207179 0.163260 0.128639 0.107782
4.515050 0.256496 0.207195 0.163273 0.128657 0.107795
4.531773 0.256467 0.207253 0.163241 0.128721 0.107761
4.548495 0.256488 0.207258 0.163264 0.128727 0.107786
4.565217 0.256571 0.207199 0.163355 0.128661 0.107885
4.581940 0.256480 0.207320 0.163255 0.128795 0.107776
4.598662 0.256490 0.207335 0.163266 0.128812 0.107788
4.615385 0.256576 0.207270 0.163360 0.128740 0.107891
4.632107 0.256607 0.207262 0.163395 0.128731 0.107928
4.648829 0.256516 0.207381 0.163294 0.128863 0.107819
4.665552 0.256538 0.207382 0.163319 0.128863 0.107845
4.682274 0.256676 0.207260 0.163471 0.128729 0.108011
4.698997 0.256546 0.207419 0.163328 0.128904 0.107855
4.715719 0.256568 0.207418 0.163352 0.128904 0.107881
4.732441 0.256660 0.207344 0.163453 0.128822 0.107992
4.749164 0.256645 0.207380 0.163437 0.128862 0.107974
4.765886 0.256611 0.207438 0.163399 0.128925 0.107933
4.782609 0.256618 0.207450 0.163407 0.128939 0.107942
4.799331 0.256776 0.207305 0.163581 0.128778 0.108132
4.816054 0.256666 0.207440 0.163460 0.128928 0.107999
4.832776 0.256647 0.207479 0.163439 0.128971 0.107976
4.849498 0.256743 0.207397 0.163545 0.128881 0.108092
4.866221 0.256735 0.207424 0.163536 0.128910 0.108082
4.882943 0.256680 0.207500 0.163476 0.128994 0.108016
4.899666 0.256713 0.207483 0.163511 0.128976 0.108056
4.916388 0.256753 0.207460 0.163555 0.128950 0.108103
4.933110 0.256663 0.207571 0.163456 0.129073 0.107995
4.949833 0.256698 0.207551 0.163494 0.129051 0.108037
4.966555 0.256794 0.207467 0.163600 0.128958 0.108152
4.983278 0.256752 0.207526 0.163554 0.129024 0.108103
5.000000 0.256767 0.207527 0.163570 0.129024 0.108120
