tempo_min h_m xA xB xC
33.467337 0.568274 0.332902 0.310795 0.356303
33.768844 0.568757 0.332920 0.310808 0.356273
34.070352 0.569230 0.332936 0.310820 0.356244
34.371859 0.569693 0.332952 0.310831 0.356217
34.673367 0.570147 0.332967 0.310843 0.356190
34.974874 0.570593 0.332982 0.310853 0.356165
35.276382 0.571029 0.332996 0.310864 0.356141
35.577889 0.571457 0.333009 0.310873 0.356117
35.879397 0.571877 0.333022 0.310883 0.356095
36.180905 0.572288 0.333035 0.310892 0.356074
36.482412 0.572691 0.333046 0.310901 0.356053
36.783920 0.573086 0.333058 0.310909 0.356033
37.085427 0.573474 0.333069 0.310917 0.356014
37.386935 0.573853 0.333079 0.310925 0.355996
37.688442 0.574225 0.333089 0.310932 0.355979
37.989950 0.574590 0.333099 0.310939 0.355962
38.291457 0.574948 0.333108 0.310946 0.355946
38.592965 0.575299 0.333117 0.310953 0.355930
38.894472 0.575643 0.333126 0.310959 0.355915
39.195980 0.575980 0.333134 0.310965 0.355901
39.497487 0.576310 0.333142 0.310971 0.355888
39.798995 0.576634 0.333149 0.310976 0.355874
40.100503 0.576951 0.333157 0.310982 0.355862
40.402010 0.577263 0.333164 0.310987 0.355850
40.703518 0.577568 0.333170 0.310992 0.355838
41.005025 0.577867 0.333177 0.310996 0.355827
41.306533 0.578160 0.333183 0.311001 0.355816
41.608040 0.578448 0.333189 0.311005 0.355806
41.909548 0.578730 0.333194 0.311009 0.355796
42.211055 0.579006 0.333200 0.311013 0.355787
42.512563 0.579277 0.333205 0.311017 0.355778
42.814070 0.579543 0.333210 0.311021 0.355769
43.115578 0.579803 0.333215 0.311024 0.355761
43.417085 0.580058 0.333220 0.311028 0.355753
43.718593 0.580309 0.333224 0.311031 0.355745
44.020101 0.580554 0.333228 0.311034 0.355737
44.321608 0.580795 0.333233 0.311037 0.355730
44.623116 0.581031 0.333236 0.311040 0.355723
44.924623 0.581262 0.333240 0.311043 0.355717
45.226131 0.581489 0.333244 0.311046 0.355711
45.527638 0.581711 0.333247 0.311048 0.355704
45.829146 0.581929 0.333251 0.311051 0.355699
46.130653 0.582142 0.333254 0.311053 0.355693
46.432161 0.582352 0.333257 0.311055 0.355688
46.733668 0.582557 0.333260 0.311057 0.355683
47.035176 0.582759 0.333263 0.311059 0.355678
47.336683 0.582956 0.333266 0.311062 0.355673
47.638191 0.583150 0.333268 0.311063 0.355668
47.939698 0.583340 0.333271 0.311065 0.355664
48.241206 0.583526 0.333273 0.311067 0.355660
48.542714 0.583708 0.333276 0.311069 0.355656
48.844221 0.583887 0.333278 0.311070 0.355652
49.145729 0.584062 0.333280 0.311072 0.355648
49.447236 0.584234 0.333282 0.311074 0.355644
49.748744 0.584403 0.333284 0.311075 0.355641
50.050251 0.584568 0.333286 0.311076 0.355638
50.351759 0.584730 0.333288 0.311078 0.355634
50.653266 0.584889 0.333290 0.311079 0.355631
50.954774 0.585045 0.333291 0.311080 0.355628
51.256281 0.585198 0.333293 0.311082 0.355625
51.557789 0.585348 0.333295 0.311083 0.355623
51.859296 0.585495 0.333296 0.311084 0.355620
52.160804 0.585639 0.333298 0.311085 0.355618
